graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
2, 23, 1, EdgeDisjointPaths, 89, 4, 1, 0, 5, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 90, 4, 25, 0, 26, 0.750000, 23, 0.000806, 0.019226
2, 23, 1, EdgeDisjointPaths, 90, 4, 4, 0, 8, 0.550000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 91, 4, 2, 0, 6, 0.200000, 23, 0.000785, 0.016016
2, 23, 1, EdgeDisjointPaths, 91, 4, 6, 0, 10, 0.900000, 23, 0.000789, 0.000000
2, 23, 1, Outerplanar, 92, 4, 12, 0, 13, 0.750000, 23, 0.000754, 0.017181
2, 23, 1, EdgeDisjointPaths, 92, 4, 4, 0, 10, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 93, 4, 23, 0, 24, 0.750000, 23, 0.000802, 0.032342
2, 23, 1, EdgeDisjointPaths, 93, 4, 6, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 94, 4, 11, 0, 13, 0.750000, 23, 0.001572, 0.015883
2, 23, 1, EdgeDisjointPaths, 94, 4, 3, 0, 8, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 95, 4, 21, 0, 24, 0.750000, 23, 0.000830, 0.015713
2, 23, 1, EdgeDisjointPaths, 95, 4, 1, 0, 6, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 96, 4, 23, 0, 25, 0.750000, 23, 0.000783, 0.016044
2, 23, 1, EdgeDisjointPaths, 96, 4, 6, 0, 12, 0.950000, 23, 0.000462, 0.000000
2, 23, 1, Outerplanar, 97, 4, 23, 0, 25, 0.750000, 23, 0.000808, 0.006862
2, 23, 1, EdgeDisjointPaths, 97, 4, 6, 0, 12, 0.950000, 23, 0.000803, 0.000000
2, 23, 1, Outerplanar, 98, 4, 25, 0, 26, 0.750000, 23, 0.000793, 0.015742
2, 23, 1, EdgeDisjointPaths, 98, 4, 6, 0, 13, 0.950000, 23, 0.000806, 0.000000
2, 23, 1, Outerplanar, 99, 4, 25, 0, 26, 0.750000, 23, 0.000805, 0.016350
2, 23, 1, EdgeDisjointPaths, 99, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 0, 4, 35, 0, 36, 0.950000, 23, 0.000819, 0.031762
3, 23, 1, EdgeDisjointPaths, 0, 4, 0, 0, 3, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 1, 4, 33, 0, 35, 0.950000, 23, 0.000000, 0.016354
3, 23, 1, EdgeDisjointPaths, 1, 4, 0, 0, 3, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 2, 4, 31, 0, 33, 0.950000, 23, 0.000495, 0.021733
3, 23, 1, EdgeDisjointPaths, 2, 4, 4, 0, 7, 1.000000, 23, 0.000805, 0.000000
3, 23, 1, Outerplanar, 3, 4, 31, 0, 34, 0.950000, 23, 0.000514, 0.021165
3, 23, 1, EdgeDisjointPaths, 3, 4, 4, 0, 8, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 4, 4, 13, 0, 14, 0.950000, 23, 0.000788, 0.031481
3, 23, 1, EdgeDisjointPaths, 4, 4, 2, 0, 5, 1.000000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 5, 4, 33, 0, 35, 0.950000, 23, 0.000801, 0.031566
3, 23, 1, EdgeDisjointPaths, 5, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
3, 23, 1, Outerplanar, 6, 4, 35, 0, 36, 0.950000, 23, 0.000786, 0.015906
3, 23, 1, EdgeDisjointPaths, 6, 4, 0, 0, 4, 1.000000, 23, 0.000785, 0.000000
